team_code	id	photo	web_name	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team.x	team.y
1	265	15208.jpg	Schweinsteiger	a	15208	Bastian	Schweinsteiger	31		54	NA	NA	0.0	0.0	-1	-1	1	1	FALSE	0	0.2	0.0	2767	249	1263	93	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	200	MID	11	Man Utd
1	251	40002.jpg	Darmian	a	40002	Matteo	Darmian	36		53	NA	NA	0.0	0.0	-2	-1	2	1	FALSE	0	1.2	0.0	28840	233	13862	73	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	257	DEF	11	Man Utd
1	264	42774.jpg	Schneiderlin	a	42774	Morgan	Schneiderlin	28		49	NA	NA	0.1	0.2	-1	-1	1	1	FALSE	0	0.3	0.5	4401	551	2306	178	0	0	0	0	1	0	1.0	1.0	2.0	FALSE	6	0	0	0	0	0	0	0	0	0	0	0	3	0.2	0.6	0.0	0.1	317	MID	11	Man Utd
1	250	20695.jpg	Valencia	a	20695	Antonio	Valencia	25		55	NA	NA	0.7	1.5	0	0	0	0	FALSE	0	10.1	4.0	25175	48662	14855	25310	0	0	0	0	8	6	4.0	4.5	5.5	FALSE	180	0	0	1	1	0	0	0	0	0	0	0	37	39.0	25.8	10.0	7.5	186	DEF	11	Man Utd
1	266	109322.jpg	Lingard	a	109322	Jesse	Lingard	14		59	100	100	0.0	0.0	-1	-1	1	1	FALSE	0	0.7	0.0	14817	1285	7172	452	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	318	MID	11	Man Utd
1	244	55909.jpg	Smalling	a	55909	Chris	Smalling	12		60	100	100	0.1	0.2	0	0	0	0	FALSE	0	1.5	0.5	10266	2567	6806	575	0	0	0	0	1	1	1.0	1.0	2.0	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0.0	0.0	0.0	381	DEF	11	Man Utd
1	267	148225.jpg	Martial	a	148225	Anthony	Martial	11		95	NA	NA	0.7	1.5	0	0	0	0	FALSE	1	8.9	7.0	44925	81049	35717	25638	0	0	0	0	14	3	7.0	7.5	8.5	FALSE	165	0	2	1	1	0	0	0	0	0	0	3	39	43.6	43.7	57.0	14.4	593	MID	11	Man Utd
1	259	2404.jpg	Carrick	a	2404	Michael	Carrick	16		44	NA	NA	0.0	0.0	-1	-1	1	1	FALSE	0	1.0	0.0	10859	3828	5646	3132	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	275	MID	11	Man Utd
1	262	59846.jpg	Herrera	a	59846	Ander	Herrera	21		64	NA	NA	0.2	0.3	-1	-1	1	1	FALSE	0	0.3	1.0	3442	789	1853	182	0	0	0	0	2	1	1.0	1.5	2.5	FALSE	99	0	0	0	1	0	0	0	1	0	0	0	14	11.8	14.1	0.0	2.6	307	MID	11	Man Utd
1	271	176297.jpg	Rashford	a	176297	Marcus	Rashford	19		68	NA	NA	0.0	0.0	-2	-1	2	1	FALSE	0	2.9	0.0	69901	2478	34043	625	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	237	FWD	11	Man Utd
1	263	156689.jpg	Pereira	a	156689	Andreas	Pereira	44		44	NA	NA	0.0	0.0	-1	-1	1	1	FALSE	0	0.1	0.0	774	290	397	220	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	12	MID	11	Man Utd
1	258	106824.jpg	Depay	a	106824	Memphis	Depay	7		74	NA	NA	0.1	0.1	-1	-1	1	1	FALSE	0	0.2	0.5	3283	304	1611	86	0	0	0	0	1	0	1.0	1.0	2.0	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	2.0	0.2	259	MID	11	Man Utd
1	247	106760.jpg	Shaw	a	106760	Luke	Shaw	23		56	NA	NA	1.2	2.4	1	1	-1	-1	FALSE	1	23.3	6.5	32091	168336	10792	151699	0	0	0	0	13	11	6.5	7.0	8.0	FALSE	180	0	1	1	1	0	0	0	0	0	0	2	44	27.0	14.8	4.0	4.6	92	DEF	11	Man Utd
1	252	171273.jpg	Borthwick-Jackson	u	171273	Cameron	Borthwick-Jackson	43	Joined Wolves in season-long loan deal	44	50	0	0.0	0.0	-1	-1	1	1	FALSE	0	0.1	0.0	1485	41	725	25	0	0	0	0	0	0	0.0	0.3	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	123	DEF	11	Man Utd
