"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"323"	"Leko"	"West Brom"	11	4.5	"MID"	2.44444444444444	"Leko"
"324"	"Caballero"	"Man City"	12	5	"GK"	2.4	"Caballero"
"325"	"Amrabat"	"Watford"	12	5	"MID"	2.4	"Amrabat"
"326"	"Austin"	"Southampton"	15	6.5	"ATK"	2.30769230769231	"Austin"
"327"	"Browning"	"Everton"	9	4	"DEF"	2.25	"Browning"
"328"	"Rodriguez"	"Southampton"	14	6.5	"MID"	2.15384615384615	"Rodriguez"
"329"	"McNair"	"Man Utd"	9	4.5	"DEF"	2	"McNair"
"330"	"Januzaj"	"Man Utd"	11	5.5	"MID"	2	"Januzaj"
"331"	"Gibson.1"	"Everton"	9	4.5	"MID"	2	"Gibson.1"
"332"	"N'Jie"	"Spurs"	12	6	"ATK"	2	"N'Jie"
"333"	"Federici"	"Bournemouth"	8	4.5	"GK"	1.77777777777778	"Federici"
"334"	"Inler"	"Leicester"	8	4.5	"MID"	1.77777777777778	"Inler"
"335"	"Onomah"	"Spurs"	8	4.5	"MID"	1.77777777777778	"Onomah"
"336"	"Byram"	"West Ham"	7	4.5	"DEF"	1.55555555555556	"Byram"
"337"	"Amartey"	"Leicester"	7	4.5	"MID"	1.55555555555556	"Amartey"
"338"	"Miazga"	"Chelsea"	6	4.5	"DEF"	1.33333333333333	"Miazga"
"339"	"Bentaleb"	"Spurs"	6	4.5	"MID"	1.33333333333333	"Bentaleb"
"340"	"Speroni"	"Crystal Palace"	5	4.5	"GK"	1.11111111111111	"Speroni"
"341"	"Haugaard"	"Stoke"	5	4.5	"GK"	1.11111111111111	"Haugaard"
"342"	"Pickford"	"Sunderland"	4	4	"GK"	1	"Pickford"
"343"	"Pennington"	"Everton"	4	4	"DEF"	1	"Pennington"
"344"	"Randall"	"Liverpool"	4	4	"DEF"	1	"Randall"
"345"	"Wilson"	"Stoke"	4	4	"DEF"	1	"Wilson"
"346"	"Pocognoli"	"West Brom"	4	4	"DEF"	1	"Pocognoli"
"347"	"Wilshere"	"Arsenal"	6	6	"MID"	1	"Wilshere"
"348"	"Niasse"	"Everton"	6	6	"ATK"	1	"Niasse"
"349"	"Brannagan"	"Liverpool"	4	4.5	"MID"	0.888888888888889	"Brannagan"
"350"	"Nordfeldt"	"Swansea"	3	4	"GK"	0.75	"Nordfeldt"
"351"	"Wasilewski"	"Leicester"	3	4	"DEF"	0.75	"Wasilewski"
"352"	"Benalouane"	"Leicester"	3	4	"DEF"	0.75	"Benalouane"
"353"	"MacDonald"	"Bournemouth"	3	4.5	"MID"	0.666666666666667	"MacDonald"
"354"	"Pereira"	"Man Utd"	3	4.5	"MID"	0.666666666666667	"Pereira"
"355"	"Rantie"	"Bournemouth"	3	4.5	"ATK"	0.666666666666667	"Rantie"
"356"	"Debuchy"	"Arsenal"	3	5	"DEF"	0.6	"Debuchy"
"357"	"Smith.1"	"Bournemouth"	2	4	"DEF"	0.5	"Smith.1"
"358"	"Given"	"Stoke"	2	4.5	"GK"	0.444444444444444	"Given"
"359"	"Fulton"	"Swansea"	2	4.5	"MID"	0.444444444444444	"Fulton"
"360"	"Emnes"	"Swansea"	2	4.5	"ATK"	0.444444444444444	"Emnes"
"361"	"Vorm"	"Spurs"	2	5	"GK"	0.4	"Vorm"
"362"	"Teixeira"	"Stoke"	1	4	"DEF"	0.25	"Teixeira"
"363"	"Mings"	"Bournemouth"	1	4.5	"DEF"	0.222222222222222	"Mings"
"364"	"Williams.1"	"Crystal Palace"	1	4.5	"MID"	0.222222222222222	"Williams.1"
"365"	"Kaikai"	"Crystal Palace"	1	4.5	"MID"	0.222222222222222	"Kaikai"
"366"	"Chirivella"	"Liverpool"	1	4.5	"MID"	0.222222222222222	"Chirivella"
"367"	"Reed"	"Southampton"	1	4.5	"MID"	0.222222222222222	"Reed"
"368"	"Cullen"	"West Ham"	1	4.5	"MID"	0.222222222222222	"Cullen"
"369"	"Gnabry"	"Arsenal"	1	5	"MID"	0.2	"Gnabry"
"370"	"Wilson.2"	"Man Utd"	1	5	"ATK"	0.2	"Wilson.2"
"371"	"Cuadrado"	"Chelsea"	1	7	"MID"	0.142857142857143	"Cuadrado"
"372"	"Karius"	"Liverpool"	0	5	"GK"	0	"Karius"
"373"	"Heaton"	"Burnley"	0	4.5	"GK"	0	"Heaton"
"374"	"Mandanda"	"Crystal Palace"	0	4.5	"GK"	0	"Mandanda"
"375"	"McGregor"	"Hull"	0	4.5	"GK"	0	"McGregor"
"376"	"Zieler"	"Leicester"	0	4.5	"GK"	0	"Zieler"
"377"	"Konstantopoulos"	"Middlesbrough"	0	4.5	"GK"	0	"Konstantopoulos"
"378"	"Valdés"	"Middlesbrough"	0	4.5	"GK"	0	"Valdés"
"379"	"Pope"	"Burnley"	0	4	"GK"	0	"Pope"
"380"	"Robinson"	"Burnley"	0	4	"GK"	0	"Robinson"
"381"	"Jakupovic"	"Hull"	0	4	"GK"	0	"Jakupovic"
"382"	"Matip"	"Liverpool"	0	5.5	"DEF"	0	"Matip"
"383"	"Bailly"	"Man Utd"	0	5.5	"DEF"	0	"Bailly"
"384"	"Keane"	"Burnley"	0	5	"DEF"	0	"Keane"
"385"	"Aina"	"Chelsea"	0	5	"DEF"	0	"Aina"
"386"	"Davies"	"Hull"	0	5	"DEF"	0	"Davies"
"387"	"Klavan"	"Liverpool"	0	5	"DEF"	0	"Klavan"
"388"	"Denayer"	"Man City"	0	5	"DEF"	0	"Denayer"
"389"	"Ayala"	"Middlesbrough"	0	5	"DEF"	0	"Ayala"
"390"	"Pied"	"Southampton"	0	5	"DEF"	0	"Pied"
"391"	"Kabasele"	"Watford"	0	5	"DEF"	0	"Kabasele"
"392"	"Masuaku"	"West Ham"	0	5	"DEF"	0	"Masuaku"
"393"	"Holding"	"Arsenal"	0	4.5	"DEF"	0	"Holding"
"394"	"Lowton"	"Burnley"	0	4.5	"DEF"	0	"Lowton"
"395"	"Mee"	"Burnley"	0	4.5	"DEF"	0	"Mee"
"396"	"Ward.1"	"Burnley"	0	4.5	"DEF"	0	"Ward.1"
"397"	"Darikwa"	"Burnley"	0	4.5	"DEF"	0	"Darikwa"
"398"	"Holgate"	"Everton"	0	4.5	"DEF"	0	"Holgate"
"399"	"Dawson.1"	"Hull"	0	4.5	"DEF"	0	"Dawson.1"
"400"	"Odubajo"	"Hull"	0	4.5	"DEF"	0	"Odubajo"
"401"	"Robertson"	"Hull"	0	4.5	"DEF"	0	"Robertson"
"402"	"Maguire"	"Hull"	0	4.5	"DEF"	0	"Maguire"
"403"	"Hernández"	"Leicester"	0	4.5	"DEF"	0	"Hernández"
"404"	"Chilwell"	"Leicester"	0	4.5	"DEF"	0	"Chilwell"
"405"	"Angelino"	"Man City"	0	4.5	"DEF"	0	"Angelino"
"406"	"Friend"	"Middlesbrough"	0	4.5	"DEF"	0	"Friend"
"407"	"Gibson"	"Middlesbrough"	0	4.5	"DEF"	0	"Gibson"
"408"	"Nsue"	"Middlesbrough"	0	4.5	"DEF"	0	"Nsue"
"409"	"Bernardo"	"Middlesbrough"	0	4.5	"DEF"	0	"Bernardo"
"410"	"Barragán"	"Middlesbrough"	0	4.5	"DEF"	0	"Barragán"
"411"	"Djilobodji"	"Sunderland"	0	4.5	"DEF"	0	"Djilobodji"
"412"	"Tabanou"	"Swansea"	0	4.5	"DEF"	0	"Tabanou"
"413"	"van der Hoorn"	"Swansea"	0	4.5	"DEF"	0	"van der Hoorn"
"414"	"Carter-Vickers"	"Spurs"	0	4.5	"DEF"	0	"Carter-Vickers"
"415"	"Zuñiga"	"Watford"	0	4.5	"DEF"	0	"Zuñiga"
"416"	"Dja Djédjé"	"Watford"	0	4.5	"DEF"	0	"Dja Djédjé"
"417"	"Tarkowski"	"Burnley"	0	4	"DEF"	0	"Tarkowski"
"418"	"Lafferty"	"Burnley"	0	4	"DEF"	0	"Lafferty"
"419"	"Lenihan"	"Hull"	0	4	"DEF"	0	"Lenihan"
"420"	"Bruce"	"Hull"	0	4	"DEF"	0	"Bruce"
"421"	"Fry"	"Middlesbrough"	0	4	"DEF"	0	"Fry"
"422"	"Gardos"	"Southampton"	0	4	"DEF"	0	"Gardos"
"423"	"Stephens"	"Southampton"	0	4	"DEF"	0	"Stephens"
"424"	"Hoban"	"Watford"	0	4	"DEF"	0	"Hoban"
"425"	"Gamboa"	"West Brom"	0	4	"DEF"	0	"Gamboa"
"426"	"Mkhitaryan"	"Man Utd"	0	9.5	"MID"	0	"Mkhitaryan"
"427"	"Nolito"	"Man City"	0	9	"MID"	0	"Nolito"
"428"	"Pogba"	"Man Utd"	0	8.5	"MID"	0	"Pogba"
"429"	"Sané"	"Man City"	0	8	"MID"	0	"Sané"
"430"	"Success"	"Watford"	0	6	"MID"	0	"Success"
"431"	"Xhaka"	"Arsenal"	0	5.5	"MID"	0	"Xhaka"
"432"	"Boyd"	"Burnley"	0	5.5	"MID"	0	"Boyd"
"433"	"Arfield"	"Burnley"	0	5.5	"MID"	0	"Arfield"
"434"	"Gudmundsson"	"Burnley"	0	5.5	"MID"	0	"Gudmundsson"
"435"	"Snodgrass"	"Hull"	0	5.5	"MID"	0	"Snodgrass"
"436"	"Kapustka"	"Leicester"	0	5.5	"MID"	0	"Kapustka"
"437"	"Markovic"	"Liverpool"	0	5.5	"MID"	0	"Markovic"
"438"	"Gündogan"	"Man City"	0	5.5	"MID"	0	"Gündogan"
"439"	"Zinchenko"	"Man City"	0	5.5	"MID"	0	"Zinchenko"
"440"	"Adomah"	"Middlesbrough"	0	5.5	"MID"	0	"Adomah"
"441"	"Downing"	"Middlesbrough"	0	5.5	"MID"	0	"Downing"
"442"	"Fischer"	"Middlesbrough"	0	5.5	"MID"	0	"Fischer"
"443"	"Ramírez"	"Middlesbrough"	0	5.5	"MID"	0	"Ramírez"
"444"	"Sobhi"	"Stoke"	0	5.5	"MID"	0	"Sobhi"
"445"	"Phillips"	"West Brom"	0	5.5	"MID"	0	"Phillips"
"446"	"Feghouli"	"West Ham"	0	5.5	"MID"	0	"Feghouli"
"447"	"Töre"	"West Ham"	0	5.5	"MID"	0	"Töre"
"448"	"Jones.2"	"Burnley"	0	5	"MID"	0	"Jones.2"
"449"	"Clucas"	"Hull"	0	5	"MID"	0	"Clucas"
"450"	"Livermore"	"Hull"	0	5	"MID"	0	"Livermore"
"451"	"Elmohamady"	"Hull"	0	5	"MID"	0	"Elmohamady"
"452"	"Huddlestone"	"Hull"	0	5	"MID"	0	"Huddlestone"
"453"	"Grujic"	"Liverpool"	0	5	"MID"	0	"Grujic"
"454"	"Leadbitter"	"Middlesbrough"	0	5	"MID"	0	"Leadbitter"
"455"	"Doucouré"	"Watford"	0	5	"MID"	0	"Doucouré"
"456"	"Nordtveit"	"West Ham"	0	5	"MID"	0	"Nordtveit"
"457"	"Hyndman"	"Bournemouth"	0	4.5	"MID"	0	"Hyndman"
"458"	"Cook.1"	"Bournemouth"	0	4.5	"MID"	0	"Cook.1"
"459"	"Marney"	"Burnley"	0	4.5	"MID"	0	"Marney"
"460"	"Ulvestad"	"Burnley"	0	4.5	"MID"	0	"Ulvestad"
"461"	"Kightly"	"Burnley"	0	4.5	"MID"	0	"Kightly"
"462"	"Meyler"	"Hull"	0	4.5	"MID"	0	"Meyler"
"463"	"Maloney"	"Hull"	0	4.5	"MID"	0	"Maloney"
"464"	"Mendy"	"Leicester"	0	4.5	"MID"	0	"Mendy"
"465"	"Clayton"	"Middlesbrough"	0	4.5	"MID"	0	"Clayton"
"466"	"Reach"	"Middlesbrough"	0	4.5	"MID"	0	"Reach"
"467"	"Forshaw"	"Middlesbrough"	0	4.5	"MID"	0	"Forshaw"
"468"	"De Pena"	"Middlesbrough"	0	4.5	"MID"	0	"De Pena"
"469"	"de Sart"	"Middlesbrough"	0	4.5	"MID"	0	"de Sart"
"470"	"de Roon"	"Middlesbrough"	0	4.5	"MID"	0	"de Roon"
"471"	"Højbjerg"	"Southampton"	0	4.5	"MID"	0	"Højbjerg"
"472"	"Ibrahimovic"	"Man Utd"	0	11.5	"ATK"	0	"Ibrahimovic"
"473"	"Batshuayi"	"Chelsea"	0	9	"ATK"	0	"Batshuayi"
"474"	"Janssen"	"Spurs"	0	8	"ATK"	0	"Janssen"
"475"	"Musa"	"Leicester"	0	7.5	"ATK"	0	"Musa"
"476"	"Gray.1"	"Burnley"	0	6.5	"ATK"	0	"Gray.1"
"477"	"Balotelli"	"Liverpool"	0	6.5	"ATK"	0	"Balotelli"
"478"	"Negredo"	"Middlesbrough"	0	6.5	"ATK"	0	"Negredo"
"479"	"Llorente"	"Swansea"	0	6.5	"ATK"	0	"Llorente"
"480"	"Vokes"	"Burnley"	0	6	"ATK"	0	"Vokes"
"481"	"Hernández.1"	"Hull"	0	6	"ATK"	0	"Hernández.1"
"482"	"Rhodes"	"Middlesbrough"	0	6	"ATK"	0	"Rhodes"
"483"	"Akpom"	"Arsenal"	0	5.5	"ATK"	0	"Akpom"
"484"	"Mousset"	"Bournemouth"	0	5.5	"ATK"	0	"Mousset"
"485"	"Sanogo"	"Arsenal"	0	5	"ATK"	0	"Sanogo"
"486"	"Asano"	"Arsenal"	0	5	"ATK"	0	"Asano"
"487"	"Nugent"	"Middlesbrough"	0	5	"ATK"	0	"Nugent"
"488"	"Stuani"	"Middlesbrough"	0	5	"ATK"	0	"Stuani"
"489"	"Sinclair"	"Watford"	0	5	"ATK"	0	"Sinclair"
"490"	"Jutkiewicz"	"Burnley"	0	4.5	"ATK"	0	"Jutkiewicz"
"491"	"Barnes"	"Burnley"	0	4.5	"ATK"	0	"Barnes"
"492"	"Hennings"	"Burnley"	0	4.5	"ATK"	0	"Hennings"
"493"	"Long.1"	"Burnley"	0	4.5	"ATK"	0	"Long.1"
"494"	"Diomande"	"Hull"	0	4.5	"ATK"	0	"Diomande"
"495"	"Vydra"	"Watford"	0	4.5	"ATK"	0	"Vydra"
