"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"74"	"Delaney"	"Crystal Palace"	94	5	"DEF"	18.8	"Delaney"
"75"	"Smith"	"Bournemouth"	84	4.5	"DEF"	18.6666666666667	"Smith"
"76"	"Ward"	"Crystal Palace"	93	5	"DEF"	18.6	"Ward"
"77"	"Ivanovic"	"Chelsea"	111	6	"DEF"	18.5	"Ivanovic"
"78"	"Myhill"	"West Brom"	83	4.5	"GK"	18.4444444444444	"Myhill"
"79"	"Funes Mori"	"Everton"	92	5	"DEF"	18.4	"Funes Mori"
"80"	"Johnson"	"Stoke"	92	5	"DEF"	18.4	"Johnson"
"81"	"Redmond"	"Southampton"	110	6	"MID"	18.3333333333333	"Redmond"
"82"	"Firmino"	"Liverpool"	155	8.5	"MID"	18.2352941176471	"Firmino"
"83"	"Whelan"	"Stoke"	82	4.5	"MID"	18.2222222222222	"Whelan"
"84"	"Rose"	"Spurs"	109	6	"DEF"	18.1666666666667	"Rose"
"85"	"Payet"	"West Ham"	171	9.5	"MID"	18	"Payet"
"86"	"Willian"	"Chelsea"	135	7.5	"MID"	18	"Willian"
"87"	"Antonio"	"West Ham"	126	7	"MID"	18	"Antonio"
"88"	"Surman"	"Bournemouth"	90	5	"MID"	18	"Surman"
"89"	"King"	"Bournemouth"	98	5.5	"MID"	17.8181818181818	"King"
"90"	"Mané"	"Liverpool"	160	9	"MID"	17.7777777777778	"Mané"
"91"	"Fàbregas"	"Chelsea"	133	7.5	"MID"	17.7333333333333	"Fàbregas"
"92"	"Rondón"	"West Brom"	115	6.5	"ATK"	17.6923076923077	"Rondón"
"93"	"Lamela"	"Spurs"	123	7	"MID"	17.5714285714286	"Lamela"
"94"	"Cabaye"	"Crystal Palace"	105	6	"MID"	17.5	"Cabaye"
"95"	"Otamendi"	"Man City"	104	6	"DEF"	17.3333333333333	"Otamendi"
"96"	"Souaré"	"Crystal Palace"	78	4.5	"DEF"	17.3333333333333	"Souaré"
"97"	"Giroud"	"Arsenal"	156	9	"ATK"	17.3333333333333	"Giroud"
"98"	"Blind"	"Man Utd"	95	5.5	"DEF"	17.2727272727273	"Blind"
"99"	"Cédric"	"Southampton"	86	5	"DEF"	17.2	"Cédric"
"100"	"Gosling"	"Bournemouth"	86	5	"MID"	17.2	"Gosling"
"101"	"Coleman"	"Everton"	94	5.5	"DEF"	17.0909090909091	"Coleman"
"102"	"Clyne"	"Liverpool"	93	5.5	"DEF"	16.9090909090909	"Clyne"
"103"	"Barry"	"Everton"	76	4.5	"MID"	16.8888888888889	"Barry"
"104"	"Long"	"Southampton"	109	6.5	"ATK"	16.7692307692308	"Long"
"105"	"Gabriel"	"Arsenal"	83	5	"DEF"	16.6	"Gabriel"
"106"	"Matic"	"Chelsea"	83	5	"MID"	16.6	"Matic"
"107"	"Stones"	"Everton"	82	5	"DEF"	16.4	"Stones"
"108"	"Fernandinho"	"Man City"	90	5.5	"MID"	16.3636363636364	"Fernandinho"
"109"	"Aké"	"Bournemouth"	73	4.5	"DEF"	16.2222222222222	"Aké"
"110"	"Dembélé"	"Spurs"	89	5.5	"MID"	16.1818181818182	"Dembélé"
"111"	"Coutinho"	"Liverpool"	129	8	"MID"	16.125	"Coutinho"
"112"	"Yaya Touré"	"Man City"	129	8	"MID"	16.125	"Yaya Touré"
"113"	"Kaboul"	"Sunderland"	72	4.5	"DEF"	16	"Kaboul"
"114"	"Bolasie"	"Crystal Palace"	96	6	"MID"	16	"Bolasie"
"115"	"Capoue"	"Watford"	72	4.5	"MID"	16	"Capoue"
"116"	"Vertonghen"	"Spurs"	87	5.5	"DEF"	15.8181818181818	"Vertonghen"
"117"	"Puncheon"	"Crystal Palace"	87	5.5	"MID"	15.8181818181818	"Puncheon"
"118"	"Cork"	"Swansea"	79	5	"MID"	15.8	"Cork"
"119"	"Olsson"	"West Brom"	71	4.5	"DEF"	15.7777777777778	"Olsson"
"120"	"Bojan"	"Stoke"	94	6	"MID"	15.6666666666667	"Bojan"
"121"	"Lallana"	"Liverpool"	109	7	"MID"	15.5714285714286	"Lallana"
"122"	"Zaha"	"Crystal Palace"	85	5.5	"MID"	15.4545454545455	"Zaha"
"123"	"Lanzini"	"West Ham"	100	6.5	"MID"	15.3846153846154	"Lanzini"
"124"	"Mannone"	"Sunderland"	69	4.5	"GK"	15.3333333333333	"Mannone"
"125"	"Yacob"	"West Brom"	69	4.5	"MID"	15.3333333333333	"Yacob"
"126"	"Navas"	"Man City"	99	6.5	"MID"	15.2307692307692	"Navas"
"127"	"Ogbonna"	"West Ham"	76	5	"DEF"	15.2	"Ogbonna"
"128"	"McClean"	"West Brom"	76	5	"MID"	15.2	"McClean"
"129"	"Sánchez"	"Arsenal"	167	11	"MID"	15.1818181818182	"Sánchez"
"130"	"Yedlin"	"Spurs"	68	4.5	"DEF"	15.1111111111111	"Yedlin"
"131"	"Afellay"	"Stoke"	83	5.5	"MID"	15.0909090909091	"Afellay"
"132"	"Gardner"	"West Brom"	83	5.5	"MID"	15.0909090909091	"Gardner"
"133"	"Pedro"	"Chelsea"	113	7.5	"MID"	15.0666666666667	"Pedro"
"134"	"Shaqiri"	"Stoke"	97	6.5	"MID"	14.9230769230769	"Shaqiri"
"135"	"Ramsey"	"Arsenal"	119	8	"MID"	14.875	"Ramsey"
"136"	"Martial"	"Man Utd"	141	9.5	"MID"	14.8421052631579	"Martial"
"137"	"Gueye"	"Everton"	74	5	"MID"	14.8	"Gueye"
"138"	"Zouma"	"Chelsea"	81	5.5	"DEF"	14.7272727272727	"Zouma"
"139"	"Okazaki"	"Leicester"	88	6	"ATK"	14.6666666666667	"Okazaki"
"140"	"McCarthy.1"	"Everton"	73	5	"MID"	14.6	"McCarthy.1"
"141"	"Ward-Prowse"	"Southampton"	80	5.5	"MID"	14.5454545454545	"Ward-Prowse"
"142"	"Walters"	"Stoke"	87	6	"MID"	14.5	"Walters"
"143"	"Naughton"	"Swansea"	65	4.5	"DEF"	14.4444444444444	"Naughton"
"144"	"Mertesacker"	"Arsenal"	71	5	"DEF"	14.2	"Mertesacker"
"145"	"McArthur"	"Crystal Palace"	71	5	"MID"	14.2	"McArthur"
"146"	"Agüero"	"Man City"	184	13	"ATK"	14.1538461538462	"Agüero"
