team_code	id	photo	web_name	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team.x	team.y
1	244	55909.jpg	Smalling	a	55909	Chris	Smalling	12		59	100	100	0.1	0.3	-1	-1	1	1	FALSE	0	1.3	0.7	17399	3104	6321	460	0	0	0	0	2	1	1.0	0.7	0.2	FALSE	3	0	0	0	0	0	0	0	0	0	0	0	6	0.0	0.0	0.0	0.0	381	DEF	11	Man Utd
1	253	201084.jpg	Fosu-Mensah	a	201084	Timothy	Fosu-Mensah	24		44	NA	NA	0.0	0.0	-1	0	1	0	FALSE	0	0.2	0.0	3925	333	1018	89	0	0	0	0	0	0	0.0	0.0	-0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	DEF	11	Man Utd
1	266	109322.jpg	Lingard	a	109322	Jesse	Lingard	14		58	100	100	0.0	0.0	-2	-1	2	1	FALSE	0	0.5	0.0	22685	1671	5877	288	0	0	0	0	0	0	0.0	0.0	-0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	318	MID	11	Man Utd
1	243	42899.jpg	Romero	a	42899	Sergio	Romero	20		49	NA	NA	0.0	0.0	-1	0	1	0	FALSE	0	0.1	0.0	1466	256	362	83	0	0	0	0	0	0	0.0	0.0	-0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	GK	11	Man Utd
1	270	112139.jpg	Wilson	u	112139	James	Wilson	19	Joined Derby in season-long loan deal	50	0	0	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	2099	238	491	22	0	0	0	0	0	0	0.0	0.0	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	FWD	11	Man Utd
1	258	106824.jpg	Depay	a	106824	Memphis	Depay	7		73	NA	NA	0.0	0.1	-2	-1	2	1	FALSE	0	0.2	0.3	4517	380	965	58	0	0	0	0	1	0	1.0	0.3	-0.2	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	2.0	0.2	259	MID	11	Man Utd
1	251	40002.jpg	Darmian	a	40002	Matteo	Darmian	36		52	NA	NA	0.0	0.0	-3	-1	3	1	FALSE	0	0.9	0.0	38473	381	6962	131	0	0	0	0	0	0	0.0	0.0	-0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	257	DEF	11	Man Utd
1	264	42774.jpg	Schneiderlin	a	42774	Morgan	Schneiderlin	28		48	NA	NA	0.1	0.2	-2	-1	2	1	FALSE	0	0.3	0.3	6429	708	1614	122	0	0	0	0	1	0	1.0	0.3	-0.2	FALSE	6	0	0	0	0	0	0	0	0	0	0	0	3	0.2	0.6	0.0	0.1	317	MID	11	Man Utd
1	259	2404.jpg	Carrick	a	2404	Michael	Carrick	16		44	NA	NA	0.0	0.0	-1	0	1	0	FALSE	0	0.9	0.0	18339	6562	6174	2171	0	0	0	0	0	0	0.0	0.0	-0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	275	MID	11	Man Utd
1	503	74208.jpg	Pogba	a	74208	Paul	Pogba	6		85	100	100	0.2	0.7	0	0	0	0	FALSE	0	15.0	2.0	101737	202769	56663	21378	0	0	0	0	6	3	3.0	2.0	1.5	FALSE	180	0	0	2	0	0	0	0	0	0	0	0	27	28.6	51.0	45.0	12.5	0	MID	11	Man Utd
