team_code	id	photo	web_name	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team.x	team.y
1	253	201084.jpg	Fosu-Mensah	a	201084	Timothy	Fosu-Mensah	24		43	NA	NA	0.0	0.0	-2	0	2	0	FALSE	0	0.2	0.0	4780	633	295	126	0	0	0	0	0	0	0.0	0.5	0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	DEF	11	Man Utd
1	258	106824.jpg	Depay	a	106824	Memphis	Depay	7		73	NA	NA	0.0	0.1	-2	0	2	0	FALSE	0	0.2	0.0	5364	464	264	33	0	0	0	0	1	0	0.5	0.5	0.5	FALSE	8	0	0	0	1	0	0	0	1	0	0	0	1	1.0	0.2	2.0	0.3	259	MID	11	Man Utd
1	251	40002.jpg	Darmian	a	40002	Matteo	Darmian	36		51	NA	NA	0.0	0.0	-4	-1	4	1	FALSE	0	0.8	0.0	43744	527	1375	57	0	0	0	0	0	0	0.0	0.5	0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	257	DEF	11	Man Utd
1	264	42774.jpg	Schneiderlin	a	42774	Morgan	Schneiderlin	28		47	NA	NA	0.0	0.2	-3	-1	3	1	FALSE	0	0.2	0.0	7948	852	473	64	0	0	0	0	1	0	1.0	0.5	0.5	FALSE	6	0	0	0	0	0	0	0	0	0	0	0	3	0.2	0.6	0.0	0.1	317	MID	11	Man Utd
1	257	41184.jpg	Fellaini	a	41184	Marouane	Fellaini	27		60	100	100	0.2	1.5	0	0	0	0	FALSE	0	0.4	1.3	9933	8835	1197	364	0	0	0	0	9	1	1.8	1.8	1.8	FALSE	450	0	0	2	6	0	0	0	3	0	0	0	83	110.0	97.7	32.0	24.0	164	MID	11	Man Utd
1	252	171273.jpg	Borthwick-Jackson	u	171273	Cameron	Borthwick-Jackson	43	Joined Wolves in season-long loan deal	44	0	0	0.0	0.0	-1	0	1	0	FALSE	0	0.0	0.0	2465	52	89	2	0	0	0	0	0	0	0.0	0.0	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	123	DEF	11	Man Utd
1	244	55909.jpg	Smalling	a	55909	Chris	Smalling	12		59	100	100	0.1	0.5	-1	0	1	0	FALSE	0	1.2	0.7	23214	3815	1551	357	0	0	0	0	3	1	1.0	1.2	1.2	FALSE	93	0	0	0	3	0	0	0	0	0	0	0	23	15.8	0.5	14.0	3.0	381	DEF	11	Man Utd
1	503	74208.jpg	Pogba	a	74208	Paul	Pogba	6		84	100	100	0.2	1.1	-1	-1	1	1	FALSE	0	11.0	2.0	258174	211157	68479	2118	0	0	0	0	9	1	2.3	2.5	2.5	FALSE	360	0	0	2	5	0	0	0	1	0	0	0	50	47.8	67.3	58.0	17.3	0	MID	11	Man Utd
1	243	42899.jpg	Romero	a	42899	Sergio	Romero	20		49	NA	NA	0.0	0.0	-1	0	1	0	FALSE	0	0.1	0.0	1818	338	129	32	0	0	0	0	0	0	0.0	0.5	0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	GK	11	Man Utd
1	270	112139.jpg	Wilson	u	112139	James	Wilson	19	Joined Derby in season-long loan deal	50	0	0	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	2397	264	104	8	0	0	0	0	0	0	0.0	0.0	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	FWD	11	Man Utd
1	266	109322.jpg	Lingard	a	109322	Jesse	Lingard	14		57	100	100	0.1	0.2	-3	-1	3	1	FALSE	0	0.4	0.3	27109	2049	1272	87	0	0	0	0	1	0	1.0	0.8	0.8	FALSE	45	0	0	0	2	0	0	0	0	0	0	0	5	0.8	13.9	2.0	1.7	318	MID	11	Man Utd
1	250	20695.jpg	Valencia	a	20695	Antonio	Valencia	25		56	NA	NA	0.7	3.6	1	0	-1	0	FALSE	1	13.0	4.0	91253	202025	23476	8859	0	0	0	0	20	2	4.0	4.5	4.5	FALSE	421	0	0	2	4	0	0	0	0	0	0	3	101	98.6	89.4	42.0	23.0	186	DEF	11	Man Utd
1	269	13017.jpg	Rooney	a	13017	Wayne	Rooney	10		90	NA	NA	0.2	2.0	0	0	0	0	FALSE	0	4.8	2.0	129914	94746	25389	1701	0	0	0	0	18	1	3.6	2.5	2.5	FALSE	446	1	2	2	6	0	0	0	3	0	0	1	88	116.2	205.1	150.0	47.2	509	FWD	11	Man Utd
1	262	59846.jpg	Herrera	a	59846	Ander	Herrera	21		63	NA	NA	0.0	0.5	-2	0	2	0	FALSE	0	0.3	0.3	6843	1173	535	69	0	0	0	0	3	0	1.0	0.8	0.8	FALSE	144	0	0	0	1	0	0	0	1	0	0	0	25	24.2	27.3	2.0	5.4	307	MID	11	Man Utd
1	265	15208.jpg	Schweinsteiger	a	15208	Bastian	Schweinsteiger	31		53	NA	NA	0.0	0.0	-2	0	2	0	FALSE	0	0.2	0.0	4550	394	253	25	0	0	0	0	0	0	0.0	0.5	0.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	200	MID	11	Man Utd
1	268	57249.jpg	Mkhitaryan	d	57249	Henrikh	Mkhitaryan	22	Thigh injury - 50% chance of playing	90	50	50	0.1	0.4	-5	-1	5	1	FALSE	0	1.7	0.7	217518	4209	6649	33	0	0	0	0	4	0	1.0	0.6	0.6	FALSE	107	0	0	0	2	0	0	0	0	0	0	0	8	19.0	41.6	43.0	10.3	0	MID	11	Man Utd
