team_code	id	photo	web_name	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team.x	team.y
1	265	15208.jpg	Schweinsteiger	a	15208	Bastian	Schweinsteiger	31		55	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	1197	134	1197	134	0	0	0	0	0	0	0.0	3.4	2.4	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	200	MID	11	Man Utd
1	264	42774.jpg	Schneiderlin	a	42774	Morgan	Schneiderlin	28		50	NA	NA	0.2	0.2	0	0	0	0	FALSE	0	0.4	1.0	1560	299	1560	299	0	0	0	0	1	1	1.0	2.9	1.9	FALSE	6	0	0	0	0	0	0	0	0	0	0	0	3	0.2	0.6	0.0	0.1	317	MID	11	Man Utd
1	248	58893.jpg	Rojo	a	58893	Marcos	Rojo	5		55	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.6	0.0	2443	184	2443	184	0	0	0	0	0	0	0.0	4.3	3.3	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	192	DEF	11	Man Utd
1	259	2404.jpg	Carrick	a	2404	Michael	Carrick	16		45	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.1	0.0	3680	538	3680	538	0	0	0	0	0	0	0.0	2.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	275	MID	11	Man Utd
1	244	55909.jpg	Smalling	a	55909	Chris	Smalling	12		60	0	100	0.0	0.0	0	0	0	0	FALSE	0	1.6	0.0	2814	1390	2814	1390	0	0	0	0	0	0	0.0	0.0	3.9	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	381	DEF	11	Man Utd
1	250	20695.jpg	Valencia	a	20695	Antonio	Valencia	25		55	NA	NA	0.4	0.4	0	0	0	0	FALSE	0	9.7	2.0	7075	15003	7075	15003	0	0	0	0	2	2	2.0	4.3	3.3	FALSE	90	0	0	0	1	0	0	0	0	0	0	0	12	22.8	18.3	6.0	4.7	186	DEF	11	Man Utd
1	503	74208.jpg	Pogba	a	74208	Paul	Pogba	6		85	0	100	0.0	0.0	0	0	0	0	FALSE	0	12.0	0.0	14876	46092	14876	46092	0	0	0	0	0	0	0.0	0.0	3.6	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	MID	11	Man Utd
1	252	171273.jpg	Borthwick-Jackson	d	171273	Cameron	Borthwick-Jackson	43	Groin Injury - 50% chance of playing	45	50	50	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	574	13	574	13	0	0	0	0	0	0	0.0	1.6	1.1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	123	DEF	11	Man Utd
1	263	156689.jpg	Pereira	a	156689	Andreas	Pereira	44		45	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	288	58	288	58	0	0	0	0	0	0	0.0	2.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	12	MID	11	Man Utd
1	262	59846.jpg	Herrera	a	59846	Ander	Herrera	21		65	NA	NA	0.2	0.2	0	0	0	0	FALSE	0	0.4	1.0	1087	397	1087	397	0	0	0	0	1	1	1.0	3.8	2.8	FALSE	90	0	0	0	1	0	0	0	1	0	0	0	11	9.4	13.1	0.0	2.3	307	MID	11	Man Utd
1	269	13017.jpg	Rooney	a	13017	Wayne	Rooney	10		90	NA	NA	0.8	0.8	0	0	0	0	FALSE	0	6.2	7.0	6448	21732	6448	21732	0	0	0	0	7	7	7.0	4.3	3.3	FALSE	88	1	0	0	1	0	0	0	0	0	0	1	34	41.2	17.9	79.0	13.8	509	FWD	11	Man Utd
1	247	106760.jpg	Shaw	a	106760	Luke	Shaw	23		55	NA	NA	0.4	0.4	0	0	0	0	FALSE	0	18.9	2.0	14828	11848	14828	11848	0	0	0	0	2	2	2.0	4.3	3.3	FALSE	90	0	0	0	1	0	0	0	0	0	0	0	14	15.6	2.0	0.0	1.8	92	DEF	11	Man Utd
1	243	42899.jpg	Romero	a	42899	Sergio	Romero	20		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	386	60	386	60	0	0	0	0	0	0	0.0	4.3	3.3	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	GK	11	Man Utd
1	268	57249.jpg	Mkhitaryan	a	57249	Henrikh	Mkhitaryan	22		94	NA	NA	0.1	0.1	-1	-1	1	1	FALSE	0	6.7	1.0	51194	1191	51194	1191	0	0	0	0	1	1	1.0	4.9	3.9	FALSE	16	0	0	0	0	0	0	0	0	0	0	0	-1	0.0	0.8	0.0	0.0	0	MID	11	Man Utd
1	245	76359.jpg	Jones	a	76359	Phil	Jones	4		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.3	0.0	1535	215	1535	215	0	0	0	0	0	0	0.0	3.7	2.7	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	64	DEF	11	Man Utd
1	251	40002.jpg	Darmian	a	40002	Matteo	Darmian	36		55	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.8	0.0	10679	126	10679	126	0	0	0	0	0	0	0.0	4.3	3.3	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	257	DEF	11	Man Utd
