team_code	id	photo	web_name	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team.x	team.y
1	253	201084.jpg	Fosu-Mensah	a	201084	Timothy	Fosu-Mensah	24		43	NA	NA	0.0	0.0	-2	0	2	0	FALSE	0	0.2	0.0	5352	973	337	186	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	DEF	11	Man Utd
1	258	106824.jpg	Depay	a	106824	Memphis	Depay	7		72	NA	NA	0.0	0.1	-3	-1	3	1	FALSE	0	0.2	0.0	5807	511	261	25	0	0	0	0	1	0	0.5	0.5	1.5	FALSE	8	0	0	0	1	0	0	0	1	0	0	0	1	1.0	0.2	2.0	0.3	259	MID	11	Man Utd
1	251	40002.jpg	Darmian	a	40002	Matteo	Darmian	36		51	NA	NA	0.0	0.0	-4	0	4	0	FALSE	0	0.7	0.0	46604	605	1470	52	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	257	DEF	11	Man Utd
1	257	41184.jpg	Fellaini	a	41184	Marouane	Fellaini	27		59	100	100	0.1	1.5	-1	-1	1	1	FALSE	0	0.3	0.7	12226	9221	1411	156	0	0	0	0	9	0	1.8	1.2	2.2	FALSE	450	0	0	2	6	0	0	0	3	0	0	0	83	110.0	97.7	32.0	24.0	164	MID	11	Man Utd
1	252	171273.jpg	Borthwick-Jackson	u	171273	Cameron	Borthwick-Jackson	43	Joined Wolves in season-long loan deal	44	0	0	0.0	0.0	-1	0	1	0	FALSE	0	0.0	0.0	2611	59	75	4	0	0	0	0	0	0	0.0	0.0	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	123	DEF	11	Man Utd
1	503	74208.jpg	Pogba	a	74208	Paul	Pogba	6		83	100	100	0.4	2.0	-2	0	2	0	FALSE	0	10.2	3.7	310445	230933	10947	17619	0	0	0	0	17	8	3.4	4.2	5.2	FALSE	450	1	0	2	6	0	0	0	1	0	0	1	84	103.6	115.1	95.0	31.4	0	MID	11	Man Utd
1	243	42899.jpg	Romero	a	42899	Sergio	Romero	20		48	NA	NA	0.0	0.0	-2	-1	2	1	FALSE	0	0.1	0.0	2059	386	160	31	0	0	0	0	0	0	0.0	0.5	1.5	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	40	GK	11	Man Utd
1	270	112139.jpg	Wilson	u	112139	James	Wilson	19	Joined Derby in season-long loan deal	50	0	0	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	2548	285	86	12	0	0	0	0	0	0	0.0	0.0	0.0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	FWD	11	Man Utd
1	244	55909.jpg	Smalling	a	55909	Chris	Smalling	12		59	100	100	0.5	1.9	-1	0	1	0	FALSE	0	1.4	3.0	25102	10392	914	6295	0	0	0	0	11	8	2.8	3.5	4.5	FALSE	183	1	0	0	4	0	0	0	0	0	0	0	50	68.4	0.9	35.0	10.4	381	DEF	11	Man Utd
1	250	20695.jpg	Valencia	a	20695	Antonio	Valencia	25		56	NA	NA	0.3	3.9	1	0	-1	0	FALSE	1	12.7	1.7	132258	230442	19544	17289	0	0	0	0	22	2	3.7	2.2	3.2	FALSE	511	0	0	2	5	0	0	0	0	0	0	3	117	125.2	105.2	44.0	27.4	186	DEF	11	Man Utd
